ID,ECO_ACT_ECO_ACT,ENV_OB_ID,CRITER_CRITER,LVL1_VAR,LVL1_VAL,LVL2_VAR,LVL2_VAL,LVL3_VAR,LVL3_VAL,LVL4_VAR,LVL4_VAL,SUBST
163,EA_C_MA,POL,POL_HNC_25,TYP_COMB,COAL,COMB_RANGE,100-300,COMB_UNIT,All Types,TYP_PLANT,New,HCI
164,EA_C_MA,POL,POL_HNC_29,TYP_COMB,COAL,COMB_RANGE,100-300,COMB_UNIT,All Types,TYP_PLANT,New,HIF
165,EA_C_MA,POL,POL_NEC_4,TYP_COMB,COAL,COMB_RANGE,100-300,COMB_UNIT,All Types,TYP_PLANT,Existing,NOX
166,EA_C_MA,POL,POL_NNC_3,TYP_COMB,COAL,COMB_RANGE,100-300,COMB_UNIT,All Types,TYP_PLANT,New,NOX
167,EA_C_MA,POL,POL_SEC_18,TYP_COMB,COAL,COMB_RANGE,100-300,COMB_UNIT,All Types,TYP_PLANT,Existing,SO2
168,EA_C_MA,POL,POL_SNC_17,TYP_COMB,COAL,COMB_RANGE,100-300,COMB_UNIT,All Types,TYP_PLANT,New,SO2
169,EA_C_MA,POL,POL_MEC_40,TYP_COMB,COAL,COMB_RANGE,100-300,COMB_UNIT,All Types,TYP_PLANT,Existing,Mercury
170,EA_C_MA,POL,POL_MNC_39,TYP_COMB,COAL,COMB_RANGE,100-300,COMB_UNIT,All Types,TYP_PLANT,New,Mercury
171,EA_C_MA,POL,POL_DEC_36,TYP_COMB,COAL,COMB_RANGE,300-1000,COMB_UNIT,PCBOL,TYP_PLANT,Existing,dust
172,EA_C_MA,POL,POL_DNC_35,TYP_COMB,COAL,COMB_RANGE,300-1000,COMB_UNIT,PCBOL,TYP_PLANT,New,dust
173,EA_C_MA,POL,POL_MEC_44,TYP_COMB,COAL,COMB_RANGE,300-1000,COMB_UNIT,PCBOL,TYP_PLANT,Existing,Mercury
174,EA_C_MA,POL,POL_MNC_43,TYP_COMB,COAL,COMB_RANGE,300-1000,COMB_UNIT,PCBOL,TYP_PLANT,New,Mercury
